[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:37:10]: Epoch Test: 99, Current test accuracy: 0.8847, Best test accuracy in 95: 0.8943
[04/06 15:37:18]: epoch: 100, train_loss: 0.167749, train_accuracy: 0.9418
[04/06 15:37:19]: Epoch Test: 100, Current test accuracy: 0.8756, Best test accuracy in 95: 0.8943
[04/06 15:37:27]: epoch: 101, train_loss: 0.165414, train_accuracy: 0.9416
[04/06 15:37:28]: Epoch Test: 101, Current test accuracy: 0.8768, Best test accuracy in 95: 0.8943
[04/06 15:37:36]: epoch: 102, train_loss: 0.166598, train_accuracy: 0.9419
[04/06 15:37:37]: Epoch Test: 102, Current test accuracy: 0.8851, Best test accuracy in 95: 0.8943
[04/06 15:37:45]: epoch: 103, train_loss: 0.169487, train_accuracy: 0.9400
[04/06 15:37:45]: Epoch Test: 103, Current test accuracy: 0.8742, Best test accuracy in 95: 0.8943
[04/06 15:37:54]: epoch: 104, train_loss: 0.166749, train_accuracy: 0.9416
[04/06 15:37:54]: Epoch Test: 104, Current test accuracy: 0.8676, Best test accuracy in 95: 0.8943
[04/06 15:38:02]: epoch: 105, train_loss: 0.163863, train_accuracy: 0.9425
[04/06 15:38:03]: Epoch Test: 105, Current test accuracy: 0.8695, Best test accuracy in 95: 0.8943
[04/06 15:38:11]: epoch: 106, train_loss: 0.168473, train_accuracy: 0.9410
[04/06 15:38:11]: Epoch Test: 106, Current test accuracy: 0.8802, Best test accuracy in 95: 0.8943
[04/06 15:38:19]: epoch: 107, train_loss: 0.162945, train_accuracy: 0.9425
[04/06 15:38:20]: Epoch Test: 107, Current test accuracy: 0.8684, Best test accuracy in 95: 0.8943
[04/06 15:38:28]: epoch: 108, train_loss: 0.170580, train_accuracy: 0.9403
