[04/05 20:14:58]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04052000', seed=17, weight_decay=0.0001)
[04/05 20:57:14]: Epoch Test: 103, Current test accuracy: 0.8820, Best test accuracy in 99: 0.8930
[04/05 20:57:38]: epoch: 104, train_loss: 0.201503, train_accuracy: 0.9594
[04/05 20:57:39]: Epoch Test: 104, Current test accuracy: 0.8718, Best test accuracy in 99: 0.8930
[04/05 20:58:02]: epoch: 105, train_loss: 0.212145, train_accuracy: 0.9580
[04/05 20:58:03]: Epoch Test: 105, Current test accuracy: 0.8858, Best test accuracy in 99: 0.8930
[04/05 20:58:26]: epoch: 106, train_loss: 0.213412, train_accuracy: 0.9564
[04/05 20:58:28]: Epoch Test: 106, Current test accuracy: 0.8820, Best test accuracy in 99: 0.8930
[04/05 20:58:51]: epoch: 107, train_loss: 0.199258, train_accuracy: 0.9600
[04/05 20:58:52]: Epoch Test: 107, Current test accuracy: 0.8852, Best test accuracy in 99: 0.8930
[04/05 20:59:15]: epoch: 108, train_loss: 0.201508, train_accuracy: 0.9587
[04/05 20:59:17]: Epoch Test: 108, Current test accuracy: 0.8837, Best test accuracy in 99: 0.8930
[04/05 20:59:40]: epoch: 109, train_loss: 0.209894, train_accuracy: 0.9568
[04/05 20:59:41]: Epoch Test: 109, Current test accuracy: 0.8837, Best test accuracy in 99: 0.8930
[04/05 21:00:04]: epoch: 110, train_loss: 0.196332, train_accuracy: 0.9597
[04/05 21:00:05]: Epoch Test: 110, Current test accuracy: 0.8784, Best test accuracy in 99: 0.8930
[04/05 21:00:29]: epoch: 111, train_loss: 0.188286, train_accuracy: 0.9625
[04/05 21:00:30]: Epoch Test: 111, Current test accuracy: 0.8802, Best test accuracy in 99: 0.8930
[04/05 21:00:53]: epoch: 112, train_loss: 0.191689, train_accuracy: 0.9616
[04/05 21:00:54]: Epoch Test: 112, Current test accuracy: 0.8775, Best test accuracy in 99: 0.8930
[04/05 21:01:17]: epoch: 113, train_loss: 0.188159, train_accuracy: 0.9616
[04/05 21:01:19]: Epoch Test: 113, Current test accuracy: 0.8828, Best test accuracy in 99: 0.8930
[04/05 21:01:42]: epoch: 114, train_loss: 0.190607, train_accuracy: 0.9611
[04/05 21:01:43]: Epoch Test: 114, Current test accuracy: 0.8866, Best test accuracy in 99: 0.8930
[04/05 21:02:06]: epoch: 115, train_loss: 0.185741, train_accuracy: 0.9627
[04/05 21:02:08]: Epoch Test: 115, Current test accuracy: 0.8883, Best test accuracy in 99: 0.8930
[04/05 21:02:31]: epoch: 116, train_loss: 0.183324, train_accuracy: 0.9632
[04/05 21:02:32]: Epoch Test: 116, Current test accuracy: 0.8864, Best test accuracy in 99: 0.8930
[04/05 21:02:55]: epoch: 117, train_loss: 0.188004, train_accuracy: 0.9620
[04/05 21:02:56]: Epoch Test: 117, Current test accuracy: 0.8874, Best test accuracy in 99: 0.8930
