[04/06 00:10:14]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+CF+Adam', seed=17, weight_decay=0.0001)
[04/06 00:34:53]: Epoch Test: 121, Current test accuracy: 0.8809, Best test accuracy in 118: 0.8838
[04/06 00:35:04]: epoch: 122, train_loss: 0.177304, train_accuracy: 0.9463
[04/06 00:35:05]: Epoch Test: 122, Current test accuracy: 0.8793, Best test accuracy in 118: 0.8838
[04/06 00:35:16]: epoch: 123, train_loss: 0.179109, train_accuracy: 0.9460
[04/06 00:35:17]: Epoch Test: 123, Current test accuracy: 0.8663, Best test accuracy in 118: 0.8838
[04/06 00:35:29]: epoch: 124, train_loss: 0.175952, train_accuracy: 0.9463
[04/06 00:35:29]: Epoch Test: 124, Current test accuracy: 0.8775, Best test accuracy in 118: 0.8838
[04/06 00:35:41]: epoch: 125, train_loss: 0.174736, train_accuracy: 0.9471
[04/06 00:35:42]: Epoch Test: 125, Current test accuracy: 0.8660, Best test accuracy in 118: 0.8838
[04/06 00:35:53]: epoch: 126, train_loss: 0.174294, train_accuracy: 0.9471
[04/06 00:35:54]: Epoch Test: 126, Current test accuracy: 0.8814, Best test accuracy in 118: 0.8838
[04/06 00:36:05]: epoch: 127, train_loss: 0.178213, train_accuracy: 0.9466
[04/06 00:36:06]: Epoch Test: 127, Current test accuracy: 0.8806, Best test accuracy in 118: 0.8838
[04/06 00:36:17]: epoch: 128, train_loss: 0.172045, train_accuracy: 0.9475
[04/06 00:36:18]: Epoch Test: 128, Current test accuracy: 0.8825, Best test accuracy in 118: 0.8838
[04/06 00:36:30]: epoch: 129, train_loss: 0.176897, train_accuracy: 0.9474
[04/06 00:36:30]: Epoch Test: 129, Current test accuracy: 0.8796, Best test accuracy in 118: 0.8838
[04/06 00:36:42]: epoch: 130, train_loss: 0.166453, train_accuracy: 0.9490
[04/06 00:36:42]: Epoch Test: 130, Current test accuracy: 0.8739, Best test accuracy in 118: 0.8838
[04/06 00:36:54]: epoch: 131, train_loss: 0.169040, train_accuracy: 0.9489
[04/06 00:36:55]: Epoch Test: 131, Current test accuracy: 0.8755, Best test accuracy in 118: 0.8838
[04/06 00:37:06]: epoch: 132, train_loss: 0.170469, train_accuracy: 0.9500
